# z_Value Average_Flux
2.359696275471790186e-02 8.301879119873046875e+01
3.677240743965003861e-02 5.944158172607421875e+01
5.591502064495151164e-02 2.521893463134765625e+02
8.225339871698270078e-02 1.412237701416015625e+02
4.428357491928907458e-02 7.360698699951171875e+01
4.163923679249098564e-02 3.105724906921386719e+01
5.033766748271768787e-02 1.920966491699218750e+02
8.200448284386652187e-02 2.321653747558593750e+02
7.951552062523471742e-02 2.946048278808593750e+02
2.690197601210831194e-02 1.694557952880859375e+02
3.711964508264725682e-02 9.939552307128906250e+01
7.381351301391136932e-02 1.575953979492187500e+02
8.075898641980494563e-02 1.112493362426757812e+02
2.926903495709017033e-02 5.033232879638671875e+01
8.200448284386652187e-02 1.476800994873046875e+02
2.383245027152136597e-02 1.314805450439453125e+02
8.850144914891086567e-02 1.393825225830078125e+02
3.592642099194025967e-02 1.132669982910156250e+02
8.051039806757433193e-02 2.098424987792968750e+02
3.009563216836771624e-02 8.008362579345703125e+01
1.046606091023818547e-01 8.231224060058593750e+01
6.740419129787481034e-02 1.330034332275390625e+02
6.937259182080786346e-02 1.667146759033203125e+02
3.009563216836771624e-02 2.988062858581542969e+01
4.450386546699693080e-02 1.635082435607910156e+01
4.334712720295462451e-02 1.154593276977539062e+02
8.524779116639490117e-02 1.900043792724609375e+02
2.690197601210831194e-02 7.271686553955078125e+01
1.478986063462280932e-02 6.658917236328125000e+01
2.288977965835903294e-02 1.632154388427734375e+02
3.477413701194314449e-02 8.074596405029296875e+01
3.425802960028960509e-02 4.813329696655273438e+01
3.188035897861169615e-02 4.044503402709960938e+01
3.521124638597081941e-02 5.986411285400390625e+01
6.103318952546286230e-02 9.008917999267578125e+01
4.296255217898986567e-02 4.260905456542968750e+01
8.374984164365174844e-02 1.455192260742187500e+02
3.699394256672355885e-02 5.661546325683593750e+01
2.218357912465718923e-02 1.043883895874023438e+02
3.378181423251176707e-02 5.243775177001953125e+01
3.998918657043843555e-02 3.555170440673828125e+01
2.430414585107677425e-02 4.529763793945312500e+01
7.777697425987153967e-02 1.183322906494140625e+02
3.283049706796752759e-02 1.161462783813476562e+02
6.863370470271515367e-02 1.934620361328125000e+02
2.998014830407720252e-02 2.147292938232421875e+02
6.152198169525076310e-02 1.787829437255859375e+02
2.666524391593928442e-02 7.894895172119140625e+01
6.937259182080786346e-02 3.004304199218750000e+02
9.453320478793612869e-02 1.843365631103515625e+02
1.001768481774313602e-02 8.261071777343750000e+01
1.281222402271370991e-02 6.997389984130859375e+01
4.671646556229245434e-02 1.200531921386718750e+02
4.604275510045003489e-02 3.848033905029296875e+01
2.784838036336736294e-02 1.048795700073242188e+02
5.154752963441726343e-02 5.696039962768554688e+01
8.051039806757433193e-02 2.424200897216796875e+02
9.176427771622562568e-02 2.222305603027343750e+02
7.085069357787876498e-02 1.298540954589843750e+02
4.406852470575196162e-02 1.851752624511718750e+02
9.604667880066043717e-02 1.489934844970703125e+02
2.430414585107677425e-02 9.690901184082031250e+01
6.470391260380288501e-02 2.233938751220703125e+02
3.069224421372125297e-02 1.837180480957031250e+02
1.211303243596540367e-02 8.756115722656250000e+01
7.901840942495054476e-02 2.376726837158203125e+02
1.538097032909691193e-02 3.739794540405273438e+01
8.875187161810114966e-02 2.812011108398437500e+02
2.595642321515199968e-02 1.527566528320312500e+02
2.241926315399209169e-02 4.745621871948242188e+01
1.773420789270310771e-02 5.450811767578125000e+01
4.286724360125716837e-02 6.240175628662109375e+01
1.698464359373732246e-01 1.816941375732421875e+02
3.092936933495310861e-02 1.948863372802734375e+02
2.690197601210831194e-02 5.607000350952148438e+01
1.819031347810018406e-02 6.903398895263671875e+01
3.021766645037187241e-02 1.681775665283203125e+02
3.655028277498224148e-02 3.552513122558593750e+01
3.069224421372125297e-02 8.549216461181640625e+01
2.247245254582640878e-02 5.171739196777343750e+01
2.516958703939590342e-02 5.218186569213867188e+01
3.045466056324943466e-02 1.020083541870117188e+02
3.655028277498224148e-02 5.748091888427734375e+01
2.666524391593928442e-02 9.113103485107421875e+01
7.331902198071262033e-02 2.387671356201171875e+02
7.381351301391136932e-02 1.601214599609375000e+02
4.362329281375943585e-02 7.254282951354980469e+00
5.057931239217190733e-02 4.529161834716796875e+01
1.634984261311360325e-04 7.935261535644531250e+01
3.521124638597081941e-02 8.661664581298828125e+01
9.377754860049676566e-02 1.824144134521484375e+02
8.374984164365174844e-02 1.282678680419921875e+02
8.275201651334106179e-02 1.604040069580078125e+02
3.951087506899229884e-02 6.544060516357421875e+01
3.211689456224934430e-02 1.135556640625000000e+02
3.677240743965003861e-02 7.118365478515625000e+01
3.640368442655222275e-02 7.227287292480468750e+01
3.588469483110468677e-02 5.931855010986328125e+01
3.987252363095940277e-02 3.164646148681640625e+01
3.783671930975368580e-02 9.671255493164062500e+01
2.855851114769736646e-02 1.917555236816406250e+02
3.425802960028960509e-02 7.848233032226562500e+01
8.225339871698270078e-02 6.491065216064453125e+01
3.759743255067628936e-02 6.097856903076171875e+01
2.832132052228837626e-02 1.656764068603515625e+02
2.406852732591903410e-02 4.543881988525390625e+01
8.026135118610386310e-02 1.272320861816406250e+02
3.187950742430894352e-02 1.642556610107421875e+02
4.119773863859527152e-02 5.183744049072265625e+01
3.664211963132674860e-02 6.347765731811523438e+01
4.163923679249098564e-02 4.337148666381835938e+01
2.619302430296678585e-02 8.886984252929687500e+01
3.664211963132674860e-02 8.647696685791015625e+01
3.455214335562966504e-02 4.305481719970703125e+01
6.642136662412830017e-02 2.566925964355468750e+02
4.310718540210590338e-02 6.101903152465820312e+01
2.713824957903740800e-02 5.092627716064453125e+01
2.619302430296678585e-02 1.121208877563476562e+02
6.838793303010146096e-02 1.252449722290039062e+02
2.595642321515199968e-02 5.821377944946289062e+01
4.296255217898986567e-02 5.976445770263671875e+01
4.743956617369531059e-02 8.911669158935546875e+01
2.453976437623451787e-02 3.308770751953125000e+01
8.649787288285583353e-02 9.656933593750000000e+01
2.171286610775880616e-02 2.932657623291015625e+01
2.430414585107677425e-02 1.975630645751953125e+02
2.642910135736446092e-02 1.047182846069335938e+02
4.310718540210590338e-02 6.614199829101562500e+01
6.666733480927344857e-02 6.716242980957031250e+01
4.472363198128781470e-02 5.836812210083007812e+01
2.194848463291654631e-02 6.384335708618164062e+01
3.920916282910446443e-02 1.692054939270019531e+01
3.903217054248336176e-02 2.725812149047851562e+01
8.499822025150727267e-02 1.022759323120117188e+02
2.030262667820062483e-02 1.801172180175781250e+02
7.109757882150391506e-02 1.694593353271484375e+02
9.478500284484643601e-02 1.186730804443359375e+02
4.009333821208448112e-02 3.315036392211914062e+01
4.430866301913206212e-02 1.476404113769531250e+02
9.101052114992312647e-02 9.856370544433593750e+01
4.428357491928907458e-02 4.195155334472656250e+01
2.241926315399209169e-02 9.582411956787109375e+01
1.863942321737914187e-01 3.387140808105468750e+02
5.275876737383664028e-02 1.125796508789062500e+02
2.974321969537677482e-02 1.637416992187500000e+02
5.567160712271457951e-02 1.104445114135742188e+02
4.286724360125716837e-02 3.992951202392578125e+01
2.964876267194682669e-02 8.972406768798828125e+01
8.424859044836439936e-02 1.388522949218750000e+02
2.241926315399209169e-02 1.104851913452148438e+02
8.026135118610386310e-02 2.609033508300781250e+02
2.998014830407720252e-02 1.340317687988281250e+02
